keys,en,fr,es,ca
Character/3d/name,Alba,Alba,Alba,Alba
Character/3d/nicknames,,,,
Character/3e/name,Andres,Andres,Andres,Andres
Character/3e/nicknames,,,,
Character/3f/name,Concierge,Concierge,Conserje,Conserge
Character/3f/nicknames,,,,
Character/40/name,Fran,Fran,Fran,Fran
Character/40/nicknames,,,,
Character/41/name,Iker,Iker,Iker,Iker
Character/41/nicknames,,,,
Character/42/name,Juan,Juan,Juan,Juan
Character/42/nicknames,,,,
Character/43/name,Mar,Mar,Mar,Mar
Character/43/nicknames,,,,
Character/44/name,Oscar,Oscar,Oscar,Oscar
Character/44/nicknames,,,,
Character/45/name,Valenti,Valenti,Valenti,Valenti
Character/45/nicknames,,,,
